ImageId,Usage,GrainWeight,Gsw,PhiPS2,Fertilizer,Heerup,Kvium,Rembrandt,Sheriff
00002,Private,3418,0.044983,0.608322,0.0,1,0,0,0
00004,Private,4476,0.019286,0.693365,0.0,0,1,0,0
00005,Private,3278,0.061033,0.611593,0.0,1,0,0,0
00006,Private,3418,0.05172,0.43264,0.0,1,0,0,0
00008,Private,4476,0.02347,0.582796,0.0,0,1,0,0
00011,Public,3860,0.069415,0.472824,0.0,0,0,1,0
00015,Private,7100,0.073345,0.46131,1.0,0,0,0,1
00016,Public,3860,0.055815,0.497512,0.0,0,0,1,0
00017,Private,3278,0.050846,0.370782,0.0,1,0,0,0
00021,Private,4476,0.052178,0.599224,0.0,0,1,0,0
00022,Public,3860,0.028844,0.669958,0.0,0,0,1,0
00024,Private,3418,0.10383,0.461001,0.0,1,0,0,0
00025,Private,4476,0.031343,0.633193,0.0,0,1,0,0
00027,Private,7100,0.082215,0.410029,1.0,0,0,0,1
00029,Private,7700,0.001359,0.723158,1.0,0,1,0,0
00032,Private,7260,0.01397,0.635808,0.5,0,0,1,0
00033,Public,8551,0.059587,0.464837,1.0,0,0,0,1
00037,Private,7100,0.03487,0.560551,1.0,0,0,0,1
00039,Private,7700,-0.004742,0.722184,1.0,0,1,0,0
00055,Public,8551,0.102161,0.471835,1.0,0,0,0,1
00056,Private,4476,0.071873,0.405598,0.0,0,1,0,0
00061,Private,3418,0.035973,0.467005,0.0,1,0,0,0
00062,Public,3860,0.047693,0.610021,0.0,0,0,1,0
00064,Private,7700,0.063313,0.437615,1.0,0,1,0,0
00065,Public,3860,0.040727,0.58426,0.0,0,0,1,0
00072,Public,3249,0.112326,0.485975,0.0,0,1,0,0
00075,Public,3249,0.067891,0.405237,0.0,0,1,0,0
00076,Private,7100,-0.003609,0.690864,1.0,0,0,0,1
00080,Public,3249,0.07,0.530982,0.0,0,1,0,0
00081,Private,7100,0.041586,0.541448,1.0,0,0,0,1
00087,Private,7700,0.105671,0.552819,1.0,0,1,0,0
00091,Public,3860,0.040727,0.58426,0.0,0,0,1,0
00092,Public,6020,0.019418,0.377357,0.5,1,0,0,0
00097,Public,8551,0.020612,0.518137,1.0,0,0,0,1
00099,Private,4476,0.033758,0.649229,0.0,0,1,0,0
00100,Public,3860,0.045455,0.651886,0.0,0,0,1,0
00107,Public,6020,0.049381,0.709599,0.5,1,0,0,0
00108,Public,8551,0.063742,0.573617,1.0,0,0,0,1
00109,Public,3249,0.063289,0.484801,0.0,0,1,0,0
00110,Private,7700,0.035272,0.504133,1.0,0,1,0,0
00115,Public,8551,0.062183,0.503283,1.0,0,0,0,1
00119,Private,4476,0.042397,0.352514,0.0,0,1,0,0
00120,Private,7100,0.039918,0.576408,1.0,0,0,0,1
00124,Private,3278,0.073734,0.592571,0.0,1,0,0,0
00126,Private,7100,0.045552,0.445554,1.0,0,0,0,1
00127,Private,4476,0.065376,0.660749,0.0,0,1,0,0
00129,Private,7100,0.074546,0.486557,1.0,0,0,0,1
00130,Private,7700,0.105671,0.552819,1.0,0,1,0,0
00132,Public,3249,0.096831,0.418376,0.0,0,1,0,0
00134,Private,7260,0.027444,0.650935,0.5,0,0,1,0
00137,Private,5180,0.067769,0.623597,0.5,0,0,0,1
00148,Private,3418,0.0974,0.374753,0.0,1,0,0,0
00150,Public,3249,0.116517,0.607736,0.0,0,1,0,0
00154,Private,5180,0.045823,0.684462,0.5,0,0,0,1
00157,Private,3278,0.061033,0.611593,0.0,1,0,0,0
00158,Private,3278,0.048058,0.687145,0.0,1,0,0,0
00160,Private,7987,0.013172,0.693785,0.5,0,0,1,0
00162,Public,6020,-0.000247,0.544604,0.5,1,0,0,0
00163,Public,3860,0.094366,0.432033,0.0,0,0,1,0
00166,Private,4476,0.077801,0.419232,0.0,0,1,0,0
00170,Private,7100,-0.006446,0.692583,1.0,0,0,0,1
00171,Private,3418,0.027518,0.567875,0.0,1,0,0,0
00182,Private,3278,0.067737,0.646939,0.0,1,0,0,0
00183,Public,3249,0.047019,0.369616,0.0,0,1,0,0
00186,Private,3278,0.080599,0.382502,0.0,1,0,0,0
00187,Private,3278,0.018858,0.683607,0.0,1,0,0,0
00188,Private,7260,0.029316,0.664037,0.5,0,0,1,0
00190,Public,8551,0.090556,0.398699,1.0,0,0,0,1
00191,Private,4476,0.029709,0.598817,0.0,0,1,0,0
00192,Private,7260,0.024176,0.671892,0.5,0,0,1,0
00203,Private,7100,-0.008695,0.70177,1.0,0,0,0,1
00207,Private,7700,0.104237,0.482933,1.0,0,1,0,0
00208,Private,7700,0.065798,0.486285,1.0,0,1,0,0
00211,Private,4476,0.033758,0.649229,0.0,0,1,0,0
00213,Private,5180,0.087044,0.631876,0.5,0,0,0,1
00217,Private,4476,0.027293,0.592038,0.0,0,1,0,0
00218,Private,3278,0.057458,0.450074,0.0,1,0,0,0
00220,Private,3418,0.065581,0.688541,0.0,1,0,0,0
00223,Public,3249,0.054058,0.509733,0.0,0,1,0,0
00227,Private,7987,0.013172,0.693785,0.5,0,0,1,0
00229,Private,7700,0.065798,0.486285,1.0,0,1,0,0
00231,Private,4476,0.060238,0.689858,0.0,0,1,0,0
00234,Private,3418,0.068131,0.576623,0.0,1,0,0,0
00238,Private,4476,0.086584,0.407798,0.0,0,1,0,0
00241,Private,4476,0.060238,0.689858,0.0,0,1,0,0
00248,Private,7100,0.045552,0.445554,1.0,0,0,0,1
00250,Private,3418,0.019443,0.615926,0.0,1,0,0,0
00251,Public,3249,0.06444,0.430064,0.0,0,1,0,0
00255,Private,7700,0.053785,0.505928,1.0,0,1,0,0
00261,Public,3860,0.069946,0.476403,0.0,0,0,1,0
00267,Public,8551,0.062042,0.448945,1.0,0,0,0,1
00271,Public,3249,0.078755,0.556851,0.0,0,1,0,0
00278,Public,8551,0.046105,0.651637,1.0,0,0,0,1
00282,Public,8551,0.007086,0.677194,1.0,0,0,0,1
00284,Private,7100,0.044287,0.609239,1.0,0,0,0,1
00286,Private,4476,0.02347,0.582796,0.0,0,1,0,0
00289,Public,3249,0.078755,0.556851,0.0,0,1,0,0
00290,Private,3278,0.064973,0.386297,0.0,1,0,0,0
00292,Private,7100,0.046837,0.424231,1.0,0,0,0,1
00296,Public,8551,0.014127,0.685399,1.0,0,0,0,1
